seconds,FHR,UC,FHR_denoised
0,137.5,33.0,137.5
1,136.75,33.0,136.75
2,136.75,33.0,136.75
3,136.25,33.0,136.25
4,136.25,33.0,136.25
5,136.75,33.0,136.75
6,136.75,33.0,136.75
7,137.0,33.0,137.0
8,137.5,33.0,137.5
9,137.5,33.0,137.5
10,137.75,32.5,137.75
11,137.75,32.5,137.75
12,138.5,33.0,138.5
13,138.5,32.5,138.5
14,139.75,32.5,139.75
15,140.0,32.5,140.0
16,140.0,32.5,140.0
17,141.0,32.5,141.0
18,141.0,32.5,141.0
19,140.75,32.5,140.75
20,142.25,32.5,142.25
21,142.25,32.5,142.25
22,143.25,32.0,143.25
23,143.25,32.5,143.25
24,144.25,32.5,144.25
25,143.25,32.5,143.25
26,143.25,32.5,143.25
27,142.25,32.5,142.25
28,142.25,32.5,142.25
29,140.75,32.0,140.75
30,140.5,32.5,140.5
31,140.5,32.0,140.5
32,139.75,32.0,139.75
33,139.75,32.0,139.75
34,140.25,32.0,140.25
35,140.25,32.0,140.25
36,139.0,32.0,139.0
37,139.0,32.5,139.0
38,139.0,33.0,139.0
39,139.5,33.0,139.5
40,139.5,33.5,139.5
41,137.75,33.5,137.75
42,137.5,33.5,137.5
43,137.5,33.0,137.5
44,138.0,33.0,138.0
45,138.0,33.0,138.0
46,138.5,33.0,138.5
47,138.5,33.0,138.5
48,137.75,33.0,137.75
49,138.75,32.5,138.75
50,138.75,32.5,138.75
51,138.0,32.5,138.0
52,138.0,32.0,138.0
53,138.25,32.0,138.25
54,138.25,32.0,138.25
55,138.75,32.0,138.75
56,138.5,32.0,138.5
57,138.5,31.5,138.5
58,138.25,32.0,138.25
59,138.25,32.0,138.25
60,137.5,32.0,137.5
61,137.5,32.5,137.5
62,136.25,33.0,136.25
63,136.5,33.0,136.5
64,136.5,33.5,136.5
65,137.0,33.0,137.0
66,137.0,32.5,137.0
67,137.5,32.5,137.5
68,137.5,32.5,137.5
69,137.75,32.5,137.75
70,138.0,32.5,138.0
71,138.0,32.5,138.0
72,138.25,32.5,138.25
73,138.25,32.5,138.25
74,139.25,32.0,139.25
75,139.0,32.0,139.0
76,139.0,32.0,139.0
77,139.5,32.0,139.5
78,139.5,32.0,139.5
79,139.5,32.5,139.5
80,139.5,33.0,139.5
81,136.75,33.0,136.75
82,136.75,32.5,136.75
83,136.75,32.5,136.75
84,137.0,32.5,137.0
85,137.0,32.5,137.0
86,137.5,32.5,137.5
87,137.5,32.5,137.5
88,137.25,32.5,137.25
89,137.25,32.5,137.25
90,137.25,32.0,137.25
91,136.5,32.0,136.5
92,136.5,32.0,136.5
93,135.75,32.0,135.75
94,135.75,32.0,135.75
95,135.5,32.0,135.5
96,135.5,31.5,135.5
97,136.25,31.5,136.25
98,136.75,31.5,136.75
99,136.75,31.5,136.75
100,137.25,32.0,137.25
101,137.5,31.5,137.5
102,137.5,31.5,137.5
103,137.5,32.0,137.5
104,137.5,32.0,137.5
105,137.75,31.5,137.75
106,137.75,31.5,137.75
107,137.75,32.0,137.75
108,138.5,31.5,138.5
109,138.5,31.5,138.5
110,138.5,31.5,138.5
111,138.5,31.5,138.5
112,139.0,31.5,139.0
113,139.0,31.5,139.0
114,139.0,31.5,139.0
115,139.0,31.5,139.0
116,139.0,31.5,139.0
117,139.5,31.5,139.5
118,139.5,32.0,139.5
119,139.75,32.0,139.75
120,140.25,32.0,140.25
121,140.25,32.0,140.25
122,140.25,32.0,140.25
123,140.25,32.0,140.25
124,140.0,32.0,140.0
125,140.25,32.0,140.25
126,140.25,32.0,140.25
127,140.0,32.0,140.0
128,140.0,32.0,140.0
129,140.5,32.0,140.5
130,140.5,32.0,140.5
131,140.5,32.5,140.5
132,140.5,32.5,140.5
133,141.0,33.0,141.0
134,140.75,33.5,140.75
135,140.75,33.0,140.75
136,140.0,33.0,140.0
137,140.0,32.5,140.0
138,140.75,32.5,140.75
139,140.5,32.5,140.5
140,140.5,32.5,140.5
