seconds,FHR,UC,FHR_denoised
0,145.75,35.0,145.75
1,147.0,36.0,147.0
2,147.0,36.0,147.0
3,147.75,35.0,147.75
4,147.75,35.0,147.75
5,148.5,35.0,148.5
6,149.25,35.0,149.25
7,149.25,36.0,149.25
8,150.0,36.0,150.0
9,150.75,36.0,150.75
10,150.75,36.0,150.75
11,151.5,36.0,151.5
12,152.25,36.0,152.25
13,152.25,36.0,152.25
14,153.0,36.0,153.0
15,153.0,36.0,153.0
16,153.0,36.0,153.0
17,153.0,35.0,153.0
18,153.0,35.0,153.0
19,153.0,35.0,153.0
20,154.75,35.0,154.75
21,154.75,35.0,154.75
22,155.5,35.0,155.5
23,154.75,35.0,154.75
24,154.75,35.0,154.75
25,156.25,35.0,156.25
26,156.25,35.0,156.25
27,156.25,35.0,156.25
28,157.0,35.0,157.0
29,157.0,35.0,157.0
30,158.0,35.0,158.0
31,159.5,35.0,159.5
32,159.5,35.0,159.5
33,158.75,35.0,158.75
34,160.5,35.0,160.5
35,160.5,35.0,160.5
36,160.5,35.0,160.5
37,160.5,35.0,160.5
38,160.5,35.0,160.5
39,162.25,34.0,162.25
40,161.25,34.0,161.25
41,160.5,35.0,160.5
42,160.5,35.0,160.5
43,163.0,36.0,163.0
44,162.25,36.0,162.25
45,162.25,35.0,162.25
46,163.0,35.0,163.0
47,162.25,34.0,162.25
48,162.25,34.0,162.25
49,162.25,35.0,162.25
50,163.0,35.0,163.0
51,163.0,35.0,163.0
52,160.5,35.0,160.5
53,160.5,35.0,160.5
54,160.5,35.0,160.5
55,155.5,34.0,155.5
56,155.5,34.0,155.5
57,155.5,34.0,155.5
58,157.0,34.0,157.0
59,158.0,34.0,158.0
60,158.0,34.0,158.0
61,158.75,34.0,158.75
62,158.75,34.0,158.75
63,158.0,35.0,158.0
64,158.75,35.0,158.75
65,158.75,35.0,158.75
66,159.5,35.0,159.5
67,159.5,35.0,159.5
68,159.5,35.0,159.5
69,161.25,35.0,161.25
70,160.5,35.0,160.5
71,162.25,33.0,162.25
72,162.25,33.0,162.25
73,161.25,32.0,161.25
74,162.25,32.0,162.25
75,162.25,32.0,162.25
76,162.25,32.0,162.25
77,162.25,33.0,162.25
78,162.25,33.0,162.25
79,163.0,33.0,163.0
80,163.0,33.0,163.0
81,163.0,34.0,163.0
82,164.0,34.0,164.0
83,163.0,35.0,163.0
84,163.0,35.0,163.0
85,164.0,34.0,164.0
86,164.0,34.0,164.0
87,164.0,34.0,164.0
88,164.0,34.0,164.0
89,163.0,33.0,163.0
90,163.0,33.0,163.0
91,163.0,34.0,163.0
92,158.75,34.0,158.75
93,158.75,36.0,158.75
94,157.0,36.0,157.0
95,153.0,36.0,153.0
96,153.0,36.0,153.0
97,150.0,35.0,150.0
98,146.25,35.0,146.25
99,146.25,33.0,146.25
100,147.0,33.0,147.0
101,147.0,31.0,147.0
102,145.75,31.0,145.75
103,143.5,31.0,143.5
104,143.5,31.0,143.5
105,147.75,32.0,147.75
106,147.75,32.0,147.75
107,148.5,31.0,148.5
108,148.5,31.0,148.5
109,148.5,29.0,148.5
110,148.5,29.0,148.5
111,148.5,28.0,148.5
112,150.75,28.0,150.75
113,151.5,29.0,151.5
114,151.5,29.0,151.5
115,151.5,31.0,151.5
116,151.5,31.0,151.5
117,151.5,32.0,151.5
118,152.25,32.0,152.25
119,154.75,32.0,154.75
120,154.75,32.0,154.75
121,151.5,33.0,151.5
122,151.5,33.0,151.5
123,153.75,34.0,153.75
124,150.0,34.0,150.0
125,150.0,36.0,150.0
126,151.5,36.0,151.5
127,152.25,39.0,152.25
128,152.25,39.0,152.25
129,153.75,44.0,153.75
130,154.75,44.0,154.75
131,154.75,46.0,154.75
132,156.25,46.0,156.25
133,157.0,42.0,157.0
134,157.0,42.0,157.0
135,158.75,41.0,158.75
136,158.0,41.0,158.0
137,158.0,46.0,158.0
138,160.5,46.0,160.5
139,160.5,48.0,160.5
140,160.5,48.0,160.5
141,161.25,46.0,161.25
142,161.25,46.0,161.25
