seconds,FHR,UC
0,141.0,20.0
1,141.25,20.0
2,141.25,19.5
3,141.0,19.5
4,141.0,19.0
5,141.0,18.5
6,141.0,18.5
7,141.0,19.5
8,141.5,19.5
9,141.5,19.0
10,142.0,18.5
11,142.5,18.0
12,142.5,18.0
13,142.0,17.5
14,142.0,18.0
15,142.0,18.5
16,142.0,18.0
17,142.0,17.5
18,142.0,17.0
19,142.0,17.0
20,140.75,16.5
21,141.25,17.5
22,141.25,17.5
23,140.75,17.0
24,140.75,17.0
25,140.75,16.5
26,140.75,16.0
27,140.75,16.0
28,140.75,16.5
29,140.75,17.0
30,141.0,16.5
31,141.0,16.5
32,140.75,16.5
33,141.5,16.0
34,141.5,16.0
35,142.0,16.0
36,142.0,17.0
37,141.75,16.5
38,141.75,16.0
39,140.75,16.5
40,141.0,16.5
41,141.0,16.5
42,140.75,17.0
43,140.75,17.5
44,141.0,17.0
45,140.75,16.5
46,140.75,17.0
47,140.75,17.0
48,140.75,17.0
49,140.75,18.0
50,141.25,18.0
51,141.25,18.0
52,142.25,18.0
53,142.25,18.5
54,142.25,18.5
55,141.75,18.5
56,141.75,18.5
57,141.5,19.0
58,141.5,18.5
59,141.75,18.0
60,141.75,19.0
61,141.75,19.5
62,142.0,19.5
63,142.0,19.5
64,142.25,19.5
65,142.25,19.0
66,142.5,19.5
67,141.75,20.0
68,141.75,20.5
69,142.0,20.0
70,142.0,20.5
71,142.0,20.0
72,141.5,20.0
73,141.5,21.5
74,141.5,23.0
75,141.5,23.0
76,141.75,22.0
77,142.25,23.5
78,142.25,23.0
79,141.25,23.0
80,141.25,24.0
81,141.25,23.5
82,143.0,23.5
83,143.0,24.0
84,142.75,23.5
85,142.75,23.0
86,142.0,23.5
87,142.0,24.5
88,142.0,24.0
89,142.0,23.5
90,142.0,23.0
91,142.0,22.5
92,142.0,23.0
93,142.5,24.0
94,142.5,26.0
95,142.5,24.5
96,143.0,23.5
97,143.0,23.0
98,142.75,21.5
99,142.75,20.5
100,142.75,19.5
101,142.75,20.0
102,142.75,19.5
103,142.75,19.5
104,143.0,19.5
105,143.0,18.5
106,143.0,16.0
107,143.0,17.0
108,142.75,15.5
109,143.25,13.0
110,143.25,13.5
111,143.25,13.5
112,143.25,13.5
113,142.75,12.5
114,142.5,12.5
115,142.5,13.0
116,143.0,14.0
117,143.0,12.5
118,142.5,12.5
119,143.25,12.0
120,143.25,13.0
121,143.25,15.0
122,143.25,16.0
123,143.0,15.0
124,143.75,14.0
125,143.75,15.0
126,143.25,16.5
127,143.25,16.0
128,144.25,16.5
129,144.0,18.5
130,144.0,20.5
131,144.0,22.5
132,144.0,21.5
133,144.5,20.5
134,144.25,20.0
135,144.25,20.5
136,145.0,23.0
137,145.0,25.5
138,143.5,24.0
139,144.0,23.5
140,144.0,23.5
141,143.25,23.0
142,143.25,23.5
143,142.5,24.5
144,142.75,25.0
145,142.75,23.5
146,143.0,22.5
147,142.5,22.0
148,142.5,21.5
149,141.75,21.5
150,141.75,22.0
151,141.25,23.0
152,139.75,23.0
153,139.75,21.5
154,140.25,21.0
155,140.25,21.0
156,140.25,20.5
157,140.25,21.0
158,140.5,21.5
159,139.25,22.5
160,139.25,21.5
161,140.5,21.0
162,140.5,21.0
163,140.5,21.0
164,140.75,21.0
165,140.75,21.5
166,141.5,22.0
167,141.5,23.0
168,141.0,21.5
169,141.5,21.5
170,141.5,21.0
171,141.0,21.0
172,141.0,21.5
173,141.25,22.5
174,141.25,23.0
175,140.5,22.5
176,141.75,21.5
177,141.75,21.0
178,140.75,21.0
179,140.75,21.0
180,141.0,21.5
181,141.0,22.5
182,141.0,22.5
183,142.25,21.5
184,142.25,21.5
185,142.0,21.0
186,141.75,20.5
187,141.75,21.0
188,142.25,21.0
189,142.25,22.0
190,141.5,22.5
191,140.75,22.5
192,140.75,21.5
193,140.0,21.0
194,140.0,21.0
195,139.25,21.0
196,139.25,22.5
197,136.5,23.0
198,136.5,22.0
199,136.25,21.5
200,136.25,21.5
201,137.25,21.0
202,137.25,21.5
203,137.75,22.5
204,137.5,23.5
205,137.5,22.0
206,136.75,21.5
207,136.75,21.0
208,137.0,21.0
209,137.0,22.0
210,136.5,23.0
211,136.75,23.0
212,136.75,21.5
213,137.25,21.0
214,137.25,21.5
215,138.75,21.5
216,138.75,21.5
217,138.0,22.5
218,138.75,23.0
219,138.75,23.0
220,139.0,21.5
221,139.0,21.5
222,138.5,21.5
223,138.5,21.5
224,138.5,22.0
225,140.0,23.0
226,140.0,23.5
227,140.25,22.5
228,140.25,22.0
229,140.75,22.0
230,141.5,22.0
231,141.5,21.5
232,141.75,22.5
233,141.75,24.0
234,142.0,23.0
235,142.25,22.0
236,142.25,21.5
237,143.25,21.5
238,143.25,21.5
239,143.25,23.0
240,143.0,23.5
241,143.0,22.0
242,143.25,21.5
243,143.25,21.5
244,143.0,21.5
245,143.25,21.5
246,143.25,22.5
247,143.25,23.5
248,143.25,23.0
249,143.25,21.5
250,141.75,22.0
251,141.75,21.5
252,142.0,21.5
253,142.0,23.0
254,142.25,23.5
255,140.75,23.0
256,140.75,22.0
257,141.75,22.0
258,141.75,22.0
259,142.0,22.5
260,142.0,23.5
261,141.5,24.0
262,140.25,23.0
263,140.25,23.0
264,141.5,23.0
265,141.5,22.0
266,141.25,23.5
267,141.25,24.0
268,141.25,23.5
269,142.25,22.5
270,142.25,22.0
271,142.25,22.0
272,142.5,22.5
273,142.5,24.0
274,143.25,24.0
275,143.25,23.0
276,143.5,22.5
277,143.5,22.0
278,143.5,22.0
279,144.0,21.5
280,144.0,21.5
281,144.0,21.5
282,144.75,22.5
283,144.75,23.0
284,143.25,22.0
285,143.25,21.5
286,143.5,21.0
287,143.75,21.0
288,143.75,21.5
289,143.5,22.0
290,143.5,22.0
291,143.5,22.0
292,143.25,22.0
293,143.25,22.0
294,143.25,21.5
295,143.25,21.0
296,144.25,21.0
297,143.25,22.0
298,143.25,21.5
299,142.5,21.5
300,142.5,21.5
301,143.5,21.5
302,143.25,21.5
303,143.25,21.0
304,143.25,20.5
305,143.25,21.0
306,142.75,21.0
307,142.0,20.5
308,142.0,20.0
309,142.0,20.0
310,142.0,21.0
311,142.0,21.0
312,142.0,20.5
313,143.25,20.0
314,142.25,19.5
315,142.25,19.5
316,141.5,19.5
317,141.5,19.5
318,140.75,19.5
319,140.0,19.0
320,140.0,19.0
321,140.25,19.5
322,140.25,19.5
323,140.75,19.0
324,140.5,19.0
325,140.5,18.5
326,139.5,18.0
327,139.5,18.0
328,141.0,18.5
329,140.75,19.0
330,140.75,19.0
331,141.5,19.0
332,141.5,18.5
333,140.75,18.5
334,140.75,18.5
335,141.5,19.0
336,141.75,18.5
337,141.75,18.5
338,140.75,18.5
339,140.75,18.0
340,140.25,18.0
341,141.0,19.0
342,141.0,19.0
343,140.75,19.0
344,140.75,18.5
345,140.75,18.0
346,140.75,17.5
347,141.25,18.0
348,140.75,18.0
349,140.75,18.5
350,141.25,19.0
351,141.25,19.0
352,141.0,18.0
353,141.25,17.5
354,141.25,17.5
355,141.0,17.0
356,141.0,17.5
357,142.0,18.0
358,142.0,18.5
359,142.0,18.5
360,141.75,18.0
361,141.75,18.0
362,142.25,17.5
363,142.0,17.0
364,142.0,17.0
365,142.25,17.5
366,142.25,18.5
367,142.0,19.0
368,142.0,18.5
369,141.0,18.0
370,141.0,18.0
371,141.0,17.0
372,141.0,17.0
373,141.0,17.0
374,140.75,17.5
375,140.75,18.5
376,140.75,18.5
377,140.75,18.0
378,140.75,18.0
379,141.0,18.0
380,141.75,18.0
381,141.75,17.5
382,141.25,17.5
383,141.25,18.0
384,140.5,19.0
385,140.5,19.0
386,140.25,18.5
387,140.75,18.5
388,140.75,18.5
389,141.0,18.0
390,141.0,17.5
391,141.0,17.5
392,140.75,18.0
393,140.75,18.5
394,140.0,19.0
395,140.0,18.5
396,140.0,18.5
397,140.0,18.5
398,139.75,18.0
399,141.0,18.0
400,141.0,18.0
401,141.25,18.0
402,141.25,18.5
403,136.75,18.5
404,138.25,19.0
405,138.25,19.5
406,138.0,19.5
407,138.0,19.0
408,139.75,19.0
409,139.75,19.0
410,140.25,18.5
411,140.25,18.5
412,140.25,18.5
413,141.25,19.0
414,141.25,20.0
415,142.0,20.0
416,141.5,20.0
417,141.5,19.5
418,142.0,19.5
419,142.0,19.0
420,142.0,19.0
421,142.0,19.5
422,142.0,19.5
423,142.0,20.0
424,142.0,20.5
425,141.5,20.5
426,141.5,20.0
427,141.25,20.0
428,141.25,19.5
429,141.25,19.5
430,141.25,19.5
431,141.25,20.0
432,142.25,20.5
433,142.25,21.0
434,142.25,21.0
435,142.0,21.0
436,142.0,20.5
437,141.0,20.5
438,141.5,20.0
439,141.5,20.0
440,141.5,20.5
441,141.5,21.0
442,141.5,21.5
443,141.0,21.5
444,141.0,21.5
445,141.25,21.5
446,141.25,21.5
447,141.0,21.5
448,141.0,21.0
449,141.5,21.5
450,141.5,21.5
451,141.5,22.0
452,140.5,23.0
453,140.5,23.0
454,140.75,22.5
455,140.75,22.0
456,140.75,22.5
457,141.0,22.0
458,141.0,22.0
459,141.5,22.5
460,140.75,23.0
461,140.75,23.5
462,140.75,23.5
463,140.75,23.5
464,141.0,23.0
465,140.75,23.0
466,140.75,23.0
467,141.25,23.0
468,141.25,23.0
469,140.5,23.5
470,140.5,23.5
471,140.25,23.5
472,141.0,23.5
473,141.0,23.0
474,141.25,23.5
475,141.25,23.5
476,141.5,23.5
477,140.75,23.5
478,140.75,23.5
479,139.5,24.0
480,139.5,23.5
481,139.5,23.5
482,139.5,23.5
483,140.75,23.0
484,141.0,23.5
485,141.0,23.5
486,140.75,23.5
487,140.75,24.0
488,141.5,24.0
489,141.75,24.0
490,141.75,24.0
491,141.25,24.5
492,141.25,24.5
493,141.5,24.0
494,142.0,24.0
495,142.0,25.0
496,143.0,25.5
497,143.0,25.5
498,141.0,25.5
499,141.5,25.5
500,141.5,25.5
501,142.0,25.0
502,142.0,25.5
503,142.75,26.0
504,142.75,26.0
505,141.5,25.5
506,140.75,26.5
507,140.75,26.5
508,140.25,26.0
509,140.25,26.0
510,141.0,26.5
511,140.75,27.0
512,140.75,26.5
513,140.25,27.0
514,140.25,27.0
515,140.5,26.5
516,140.75,26.5
517,140.75,27.5
518,140.0,27.5
519,140.0,27.5
520,140.5,27.0
521,140.5,27.0
522,140.25,27.0
523,140.75,27.0
524,140.75,27.0
525,141.0,28.0
526,141.0,28.5
527,141.25,28.0
528,140.5,27.5
529,140.5,27.5
530,140.5,27.5
531,140.5,29.0
532,140.75,29.5
533,140.75,29.0
534,140.75,28.0
535,140.5,28.5
536,140.5,28.0
537,141.0,29.0
538,141.0,30.0
539,140.5,29.5
540,140.75,29.0
541,140.75,29.0
542,140.0,28.5
543,140.0,29.5
544,140.5,30.5
545,140.25,29.5
546,140.25,29.0
547,140.25,29.5
548,140.25,29.0
549,140.5,29.0
550,140.5,30.0
551,140.75,30.5
552,140.75,29.5
553,140.75,29.5
554,140.5,29.0
555,140.5,29.5
556,141.75,31.0
557,141.0,31.0
558,141.0,30.0
559,141.25,30.0
560,141.25,29.5
561,141.25,29.5
562,142.0,30.0
563,142.0,31.0
564,140.75,30.5
565,140.75,30.0
566,140.5,30.0
567,140.5,29.5
568,140.0,29.5
569,140.75,31.5
570,140.75,31.0
571,141.25,29.5
572,141.25,29.5
573,139.5,29.5
574,141.0,29.5
575,141.0,30.0
576,140.25,30.5
577,140.25,30.0
578,140.5,29.5
579,140.5,29.5
580,139.75,29.0
581,141.0,30.0
582,141.0,30.5
583,141.0,30.0
584,141.0,29.5
585,140.75,29.5
586,140.75,29.5
587,140.75,30.0
588,140.75,30.5
589,140.75,30.0
590,140.75,29.5
591,140.5,30.0
592,140.5,30.0
593,139.75,29.5
594,139.75,30.5
595,140.75,31.5
596,140.75,31.5
597,139.25,31.0
598,138.0,31.0
599,138.0,31.0
600,137.5,31.0
601,137.5,32.0
602,138.5,32.0
603,138.5,32.0
604,138.25,31.5
605,138.25,31.5
606,138.25,31.5
607,138.75,31.5
608,138.75,32.5
609,139.0,32.0
610,139.75,31.5
611,139.75,31.5
612,139.75,31.0
613,139.75,31.5
614,140.25,31.0
615,140.25,31.5
616,140.5,32.0
617,140.25,32.0
618,140.25,31.5
619,139.75,32.0
620,139.75,31.0
621,139.5,31.0
622,140.0,31.5
623,140.0,32.5
624,138.75,32.5
625,138.75,32.0
626,139.75,32.0
627,139.75,32.0
628,139.75,31.5
629,140.0,31.5
630,140.0,33.0
631,140.0,33.0
632,140.0,32.5
633,139.5,32.0
634,139.5,32.0
635,139.5,31.5
636,140.25,31.5
637,140.25,32.5
638,140.5,33.0
639,140.5,32.5
640,140.25,32.0
641,140.0,31.5
642,140.0,31.0
643,140.0,31.5
644,140.0,32.5
645,140.5,32.5
646,140.25,32.0
647,140.25,32.0
648,140.25,31.5
649,140.25,31.0
650,140.0,31.0
651,140.0,31.5
652,139.75,32.0
653,140.25,32.0
654,140.25,31.5
655,140.0,31.0
656,140.0,30.5
657,138.5,30.0
658,138.75,30.0
659,138.75,31.0
660,138.5,31.5
661,138.5,31.0
662,138.5,30.0
663,138.5,29.5
664,138.75,29.5
665,138.75,29.0
666,138.75,29.0
667,139.5,28.5
668,139.5,28.5
669,139.0,29.0
670,139.0,30.0
671,139.25,29.5
672,140.0,28.5
673,140.0,29.0
674,139.75,28.5
675,139.75,28.5
676,140.5,28.5
677,140.0,28.0
678,140.0,28.0
679,139.5,28.0
680,139.5,27.5
681,139.5,27.5
682,139.5,28.5
683,139.5,28.0
684,139.0,27.5
685,139.0,27.0
686,138.5,26.5
687,138.5,27.0
688,139.0,28.0
689,138.75,28.0
690,138.75,27.0
691,138.75,26.5
692,138.75,26.0
693,139.5,27.0
694,139.5,27.5
695,139.5,27.0
696,139.75,26.5
697,139.75,26.0
698,139.5,25.5
699,139.5,25.5
700,139.5,25.5
701,139.5,26.0
702,139.5,26.0
703,139.5,25.5
704,140.25,25.5
705,140.25,24.5
706,140.0,24.5
707,140.0,24.5
708,139.5,25.0
709,139.5,25.0
710,138.0,24.0
711,138.0,24.0
712,138.0,23.5
713,139.5,23.0
714,139.5,23.5
715,138.75,24.0
716,138.75,23.5
717,138.5,23.0
718,139.0,23.0
719,139.0,22.5
720,138.5,22.0
721,138.5,22.5
722,138.5,23.0
723,139.25,23.0
724,139.25,22.5
725,139.25,22.0
726,139.25,21.5
727,139.5,21.5
728,139.5,22.0
729,139.5,22.0
730,139.5,21.5
731,139.5,21.5
732,139.5,21.5
733,139.5,21.0
734,140.25,21.0
735,139.0,21.0
736,139.0,21.0
737,139.75,21.0
738,139.75,20.5
739,138.75,21.0
740,138.75,21.0
741,138.75,20.0
742,138.75,20.0
743,138.75,21.0
744,139.5,21.0
745,139.5,20.5
746,138.75,20.5
