seconds,FHR,UC,FHR_denoised
0,141.75,18.5,141.75
1,141.75,19.0,141.75
2,142.0,19.5,142.0
3,142.0,18.5,142.0
4,143.25,18.5,143.25
5,143.25,19.0,143.25
6,143.25,19.0,143.25
7,142.75,19.5,142.75
8,142.75,19.5,142.75
9,142.75,20.5,142.75
10,142.25,21.5,142.25
11,142.75,22.0,142.75
12,142.75,22.0,142.75
13,142.25,21.5,142.25
14,142.25,22.0,142.25
15,142.75,22.0,142.75
16,142.75,22.0,142.75
17,143.0,22.5,143.0
18,143.0,23.0,143.0
19,143.0,24.0,143.0
20,142.75,25.0,142.75
21,142.75,25.5,142.75
22,142.75,26.0,142.75
23,143.25,25.5,143.25
24,143.25,25.5,143.25
25,142.5,26.0,142.5
26,142.5,26.0,142.5
27,142.5,26.5,142.5
28,142.75,27.0,142.75
29,142.75,27.5,142.75
30,143.25,28.5,143.25
31,143.25,29.5,143.25
32,143.75,30.0,143.75
33,143.75,30.5,143.75
34,143.75,30.5,143.75
35,144.75,31.0,144.75
36,144.75,31.5,144.75
37,144.5,32.5,144.5
38,144.5,33.0,144.5
39,144.5,33.5,144.5
40,144.25,34.5,144.25
41,144.25,35.5,144.25
42,143.5,36.5,143.5
43,140.75,37.0,140.75
44,140.75,37.5,140.75
45,141.25,37.0,141.25
46,141.25,37.0,141.25
47,141.25,37.0,141.25
48,142.0,36.5,142.0
49,142.0,38.0,142.0
50,142.0,41.0,142.0
51,142.0,44.0,142.0
52,140.75,47.0,140.75
53,140.75,50.0,140.75
54,140.75,52.5,140.75
55,139.5,54.5,139.5
56,139.5,56.5,139.5
57,137.5,59.5,137.5
58,137.5,62.0,137.5
59,140.75,63.0,140.75
60,141.25,65.0,141.25
61,141.25,67.0,141.25
62,141.25,70.0,141.25
63,141.25,72.5,141.25
64,141.25,72.5,141.25
65,141.25,73.5,141.25
66,141.25,74.5,141.25
67,141.25,77.5,141.25
68,141.25,78.0,141.25
69,141.25,79.5,141.25
70,141.5,81.5,141.5
71,141.5,82.0,141.5
72,141.5,82.0,141.5
73,141.25,82.5,141.25
74,141.25,85.0,141.25
75,140.5,88.0,140.5
76,140.5,90.0,140.5
77,140.5,92.0,140.5
78,140.5,93.0,140.5
79,140.75,93.5,140.75
80,140.75,94.5,140.75
81,140.75,99.0,140.75
82,141.0,101.0,141.0
83,141.0,102.5,141.0
84,141.0,102.0,141.0
85,140.75,102.0,140.75
86,141.0,103.0,141.0
87,141.0,105.0,141.0
88,141.0,107.0,141.0
89,141.0,108.5,141.0
90,141.0,108.0,141.0
91,0.0,104.0,141.75
92,0.0,103.5,141.75
93,0.0,105.0,141.75
94,0.0,105.5,141.75
95,0.0,106.0,141.75
96,0.0,107.5,141.75
97,0.0,109.5,141.75
98,138.0,109.0,138.0
99,137.5,109.0,137.5
100,137.5,109.5,137.5
101,137.5,107.0,137.5
102,135.75,105.5,135.75
103,135.75,105.0,135.75
104,136.5,107.5,136.5
105,136.5,109.5,136.5
106,136.25,109.0,136.25
107,136.5,108.0,136.5
108,136.5,107.0,136.5
109,136.5,104.0,136.5
110,136.5,105.0,136.5
111,136.5,106.0,136.5
112,136.5,106.5,136.5
113,136.25,104.5,136.25
114,136.25,104.0,136.25
115,136.25,105.5,136.25
116,0.0,106.0,141.75
117,0.0,106.0,141.75
118,0.0,107.5,141.75
119,0.0,107.0,141.75
120,0.0,104.5,141.75
121,0.0,103.5,141.75
122,0.0,103.0,141.75
123,0.0,101.0,141.75
124,0.0,100.5,141.75
125,0.0,101.0,141.75
126,136.75,102.5,136.75
127,136.75,103.0,136.75
128,136.0,103.5,136.0
129,136.0,103.5,136.0
130,136.0,105.5,136.0
131,136.0,104.0,136.0
132,136.0,100.0,136.0
133,136.0,96.5,136.0
134,136.0,95.5,136.0
135,136.0,97.5,136.0
136,136.0,100.5,136.0
137,136.0,99.5,136.0
138,136.0,97.5,136.0
139,136.0,100.0,136.0
140,135.75,99.0,135.75
141,135.75,97.0,135.75
142,135.75,96.5,135.75
143,135.75,93.5,135.75
144,0.0,92.5,0.0
145,0.0,93.5,0.0
146,0.0,94.0,0.0
147,0.0,93.0,0.0
148,0.0,93.5,0.0
149,0.0,93.0,0.0
150,0.0,92.0,0.0
151,0.0,92.5,0.0
152,0.0,94.0,0.0
153,0.0,92.0,0.0
154,0.0,93.0,0.0
155,0.0,94.0,0.0
156,0.0,94.0,0.0
157,0.0,93.0,0.0
158,0.0,93.0,0.0
159,0.0,92.5,0.0
160,0.0,94.5,0.0
161,0.0,97.0,0.0
162,0.0,95.0,0.0
163,0.0,95.5,0.0
164,0.0,102.0,0.0
165,0.0,92.5,0.0
166,0.0,96.0,0.0
167,0.0,103.0,0.0
168,0.0,98.0,0.0
169,0.0,93.0,0.0
170,0.0,90.0,0.0
171,0.0,90.0,0.0
172,0.0,88.5,0.0
173,0.0,87.5,0.0
174,0.0,85.0,0.0
175,0.0,83.5,0.0
176,0.0,84.0,0.0
177,0.0,84.0,0.0
178,0.0,82.0,0.0
179,0.0,78.5,0.0
180,103.0,81.0,103.0
181,103.0,81.0,103.0
182,103.25,79.0,103.25
183,103.25,81.0,103.25
184,103.5,83.0,103.5
185,103.5,89.0,103.5
186,99.75,90.0,99.75
187,99.75,87.0,99.75
188,99.75,90.0,99.75
189,99.75,92.5,99.75
190,99.75,93.5,99.75
191,99.75,94.0,99.75
192,99.75,94.0,99.75
193,99.75,95.5,99.75
194,99.75,97.5,99.75
195,99.75,92.5,99.75
196,100.0,86.5,100.0
197,100.0,87.0,100.0
198,0.0,90.0,141.75
199,0.0,91.5,141.75
200,0.0,91.0,141.75
201,0.0,88.5,141.75
202,0.0,89.5,141.75
203,0.0,91.0,141.75
204,0.0,90.0,141.75
205,0.0,89.5,141.75
206,0.0,88.0,141.75
207,0.0,90.0,141.75
208,0.0,92.0,141.75
209,0.0,93.5,141.75
210,0.0,92.5,141.75
211,0.0,91.0,141.75
212,0.0,92.0,141.75
213,0.0,92.5,141.75
214,0.0,93.0,141.75
215,0.0,92.0,141.75
216,0.0,90.0,141.75
217,0.0,89.5,141.75
218,0.0,89.0,141.75
219,0.0,90.0,141.75
220,0.0,89.5,141.75
221,0.0,88.5,141.75
222,131.5,86.0,131.5
223,131.5,85.5,131.5
224,131.5,86.0,131.5
225,132.5,87.5,132.5
226,132.75,86.0,132.75
227,132.75,84.0,132.75
228,131.25,83.0,131.25
229,131.25,84.0,131.25
230,131.25,85.5,131.25
231,131.25,84.5,131.25
232,131.25,82.5,131.25
233,131.25,81.5,131.25
234,131.5,81.5,131.5
235,131.5,83.5,131.5
236,131.5,83.0,131.5
237,131.5,82.5,131.5
238,131.25,81.5,131.25
239,131.25,81.5,131.25
240,0.0,81.0,141.75
241,0.0,79.0,141.75
242,0.0,79.5,141.75
243,0.0,80.0,141.75
244,0.0,78.5,141.75
245,164.25,80.0,164.25
246,160.25,82.0,160.25
247,160.25,80.0,160.25
248,160.25,75.0,160.25
249,158.75,90.5,158.75
250,158.75,94.5,158.75
251,154.75,73.0,154.75
252,154.75,75.5,154.75
253,159.0,75.5,159.0
254,158.25,75.5,158.25
255,158.25,75.5,158.25
256,158.25,75.0,158.25
257,157.5,73.5,157.5
258,157.25,71.0,157.25
