seconds,FHR,UC,FHR_denoised
0,133.25,26.5,133.25
1,131.75,27.5,131.75
2,131.75,27.0,131.75
3,130.25,26.5,130.25
4,130.25,27.0,130.25
5,129.75,27.0,129.75
6,130.75,27.5,130.75
7,130.75,27.5,130.75
8,131.5,27.5,131.5
9,131.5,27.0,131.5
10,132.0,27.5,132.0
11,132.0,28.0,132.0
12,132.25,27.5,132.25
13,132.25,27.5,132.25
14,130.5,27.5,130.5
15,129.75,27.0,129.75
16,129.75,26.0,129.75
17,128.75,25.5,128.75
18,128.75,25.0,128.75
19,127.25,24.5,127.25
20,127.25,24.5,127.25
21,126.5,24.0,126.5
22,126.5,23.5,126.5
23,126.5,24.0,126.5
24,126.5,23.5,126.5
25,126.25,23.5,126.25
26,126.25,23.5,126.25
27,126.0,23.0,126.0
28,126.0,23.0,126.0
29,124.5,22.5,124.5
30,124.5,22.5,124.5
31,124.5,22.0,124.5
32,124.5,21.5,124.5
33,124.5,21.5,124.5
34,130.0,21.5,130.0
35,130.0,21.5,130.0
36,130.75,22.5,130.75
37,130.75,22.5,130.75
38,131.5,22.0,131.5
39,131.5,21.5,131.5
40,131.75,21.0,131.75
41,130.75,20.5,130.75
42,130.75,21.0,130.75
43,130.75,21.0,130.75
44,130.75,21.5,130.75
45,130.75,22.5,130.75
46,130.75,23.0,130.75
47,131.25,23.0,131.25
48,131.25,22.5,131.25
49,132.0,22.5,132.0
50,132.0,22.5,132.0
51,132.0,23.5,132.0
52,132.0,24.5,132.0
53,132.0,24.5,132.0
54,131.75,23.5,131.75
55,131.75,24.0,131.75
56,131.75,24.0,131.75
57,131.75,25.0,131.75
58,131.75,26.0,131.75
59,132.5,26.5,132.5
60,132.5,26.0,132.5
61,132.75,26.0,132.75
62,132.75,26.5,132.75
63,133.25,27.0,133.25
64,135.0,27.0,135.0
65,135.0,27.5,135.0
66,136.0,27.0,136.0
67,136.0,27.0,136.0
68,136.5,27.0,136.5
69,136.0,28.0,136.0
70,136.0,28.5,136.0
71,135.5,28.5,135.5
72,135.5,28.5,135.5
73,135.0,28.0,135.0
74,135.0,28.0,135.0
75,132.5,28.5,132.5
76,132.5,28.0,132.5
77,129.5,28.0,129.5
78,129.5,28.0,129.5
79,127.75,27.5,127.75
80,127.75,27.0,127.75
81,127.75,26.5,127.75
